Name,Birth,Death,Reign Start,Reign End,Kingdom,Reign 2 Start,Reign 2 End,Reign 2 Kingdom,Reign 3 Start,Reign 3 End,Reign 3 Kingdom,Age at Death,Length of Reign,Age at Start of Reign
William I,1028,1087,1066,1087,England,,,,,,,59,21,38
William II,1058,1100,1087,1100,England,,,,,,,42,13,29
Henry I,1068,1135,1100,1135,England,,,,,,,67,35,32
Stephen,1096,1154,1135,1154,England,,,,,,,58,19,39
Henry II,1133,1189,1154,1189,England,,,,,,,56,35,21
Henry the Young King,1155,1183,1170,1183,England,,,,,,,28,13,15
Richard I,1157,1199,1189,1199,England,,,,,,,42,10,32
John,1166,1216,1199,1216,England,,,,,,,50,17,33
Henry III,1207,1272,1216,1272,England,,,,,,,65,56,9
Edward I,1239,1307,1272,1307,England,,,,,,,68,35,33
Edward II,1284,1327,1307,1327,England,,,,,,,43,20,23
Edward III,1312,1377,1327,1377,England,,,,,,,65,50,15
Richard II,1367,1400,1377,1399,England,,,,,,,33,22,10
Henry IV,1366,1413,1399,1413,England,,,,,,,47,14,33
Henry V,1386,1422,1413,1422,England,,,,,,,36,9,27
Henry VI,1421,1471,1422,1461,England,1470,1471,England,,,,50,40,1
Edward IV,1442,1483,1461,1470,England,1471,1483,England,,,,41,21,19
Edward V,1470,1483,1483,1483,England,,,,,,,13,0,13
Richard III,1452,1485,1483,1485,England,,,,,,,33,2,31
Henry VII,1457,1509,1485,1509,England,,,,,,,52,24,28
Henry VIII,1491,1547,1509,1547,England,,,,,,,56,38,18
Edward VI,1537,1553,1547,1553,England,,,,,,,16,6,10
Mary I,1516,1558,1553,1558,England,,,,,,,42,5,37
Philip,1527,1598,1554,1558,England,,,,,,,71,4,27
Elizabeth I,1533,1603,1558,1603,England,,,,,,,70,45,25
James I / James VI,1566,1625,1603,1625,England,1567,1625,Scotland,,,,59,80,37
Charles I,1600,1649,1625,1649,England,1625,1649,Scotland,,,,49,48,25
Charles II,1630,1685,1660,1685,England,1649,1651,Scotland,1660,1685,Scotland,55,27,30
James II / James VII,1633,1701,1685,1688,England,1685,1688,Scotland,,,,68,6,52
Mary II,1662,1694,1689,1694,England,1689,1694,Scotland,,,,32,10,27
William III / William II,1650,1702,1689,1702,England,1689,1702,Scotland,,,,52,26,39
Anne,1665,1714,1702,1707,England,1702,1707,Scotland,1707,1714,Britain,49,12,37
George I,1660,1727,1714,1727,Britain,,,,,,,67,13,54
George II,1683,1760,1727,1760,Britain,,,,,,,77,33,44
George III,1738,1820,1760,1820,Britain,,,,,,,82,60,22
George IV,1762,1830,1820,1830,Britain,,,,,,,68,10,58
William IV,1765,1837,1830,1837,Britain,,,,,,,72,7,65
Victoria,1819,1901,1837,1901,Britain,,,,,,,82,64,18
Edward VII,1841,1910,1901,1910,Britain,,,,,,,69,9,60
George V,1865,1936,1910,1936,Britain,,,,,,,71,26,45
Edward VIII,1894,1972,1936,1936,Britain,,,,,,,78,0,42
George VI,1895,1952,1936,1952,Britain,,,,,,,57,16,41
Elizabeth II,1926,,1952,,Britain,,,,,,,,,26
Margaret,1283,1290,1286,1290,Scotland,,,,,,,7,4,3
John Balliol,1249,1314,1292,1296,Scotland,,,,,,,65,4,43
Robert I,1274,1329,1306,1329,Scotland,,,,,,,55,23,32
David II,1324,1371,1329,1371,Scotland,,,,,,,47,42,5
Robert II,1316,1390,1371,1390,Scotland,,,,,,,74,19,55
Robert III,1337,1406,1390,1406,Scotland,,,,,,,69,16,53
James I,1394,1437,1406,1437,Scotland,,,,,,,43,31,12
James II,1430,1460,1437,1460,Scotland,,,,,,,30,23,7
James III,1451,1488,1460,1488,Scotland,,,,,,,37,28,9
James IV,1473,1513,1488,1513,Scotland,,,,,,,40,25,15
James V,1512,1542,1513,1542,Scotland,,,,,,,30,29,1
Mary I,1542,1587,1542,1567,Scotland,,,,,,,45,25,0
